# x	Exp
1.77	0.170333
1.78	0.168638
1.79	0.16696
1.8	0.165299
1.81	0.163654
1.82	0.162026
1.83	0.160414
1.84	0.158817
1.85	0.157237
1.86	0.155673
1.87	0.154124
1.88	0.15259
1.89	0.151072
1.9	0.149569
1.91	0.14808
1.92	0.146607
1.93	0.145148
1.94	0.143704
1.95	0.142274
1.96	0.140858
1.97	0.139457
1.98	0.138069
1.99	0.136695
2	0.135335
2.01	0.133989
2.02	0.132655
2.03	0.131336
2.04	0.130029
2.05	0.128735
2.06	0.127454
2.07	0.126186
2.08	0.12493
2.09	0.123687
2.1	0.122456
2.11	0.121238
2.12	0.120032
2.13	0.118837
2.14	0.117655
2.15	0.116484
2.16	0.115325
2.17	0.114178
2.18	0.113042
2.19	0.111917
2.2	0.110803
2.21	0.109701
2.22	0.108609
2.23	0.107528
2.24	0.106459
2.25	0.105399
2.26	0.10435
2.27	0.103312
2.28	0.102284
2.29	0.101266
2.3	0.100259
2.31	0.0992613
2.32	0.0982736
2.33	0.0972957
2.34	0.0963276
2.35	0.0953692
2.36	0.0944202
2.37	0.0934807
2.38	0.0925506
2.39	0.0916297
2.4	0.090718
2.41	0.0898153
2.42	0.0889216
2.43	0.0880368
2.44	0.0871609
2.45	0.0862936
2.46	0.085435
2.47	0.0845849
2.48	0.0837432
2.49	0.08291
2.5	0.082085
2.51	0.0812682
2.52	0.0804596
2.53	0.079659
2.54	0.0788664
2.55	0.0780817
2.56	0.0773047
2.57	0.0765355
2.58	0.075774
2.59	0.07502
2.6	0.0742736
2.61	0.0735345
2.62	0.0728029
2.63	0.0720785
2.64	0.0713613
2.65	0.0706512
2.66	0.0699482
2.67	0.0692522
2.68	0.0685632
2.69	0.0678809
2.7	0.0672055
2.71	0.0665368
2.72	0.0658748
2.73	0.0652193
2.74	0.0645703
2.75	0.0639279
2.76	0.0632918
2.77	0.062662
2.78	0.0620385
2.79	0.0614212
2.8	0.0608101
2.81	0.060205
2.82	0.0596059
2.83	0.0590129
2.84	0.0584257
2.85	0.0578443
2.86	0.0572688
2.87	0.0566989
2.88	0.0561348
2.89	0.0555762
2.9	0.0550232
2.91	0.0544757
2.92	0.0539337
2.93	0.053397
2.94	0.0528657
2.95	0.0523397
2.96	0.0518189
2.97	0.0513033
2.98	0.0507928
2.99	0.0502874
3	0.0497871
3.01	0.0492917
3.02	0.0488012
3.03	0.0483156
3.04	0.0478349
3.05	0.0473589
3.06	0.0468877
3.07	0.0464212
3.08	0.0459593
3.09	0.045502
3.1	0.0450492
3.11	0.044601
3.12	0.0441572
3.13	0.0437178
3.14	0.0432828
3.15	0.0428521
3.16	0.0424257
3.17	0.0420036
3.18	0.0415857
3.19	0.0411719
3.2	0.0407622
3.21	0.0403566
3.22	0.0399551
3.23	0.0395575
3.24	0.0391639
3.25	0.0387742
3.26	0.0383884
3.27	0.0380064
3.28	0.0376283
3.29	0.0372538
3.3	0.0368832
3.31	0.0365162
3.32	0.0361528
3.33	0.0357931
3.34	0.035437
3.35	0.0350844
3.36	0.0347353
3.37	0.0343896
3.38	0.0340475
3.39	0.0337087
3.4	0.0333733
3.41	0.0330412
3.42	0.0327124
3.43	0.0323869
3.44	0.0320647
3.45	0.0317456
3.46	0.0314298
3.47	0.031117
3.48	0.0308074
3.49	0.0305009
3.5	0.0301974
3.51	0.0298969
3.52	0.0295994
3.53	0.0293049
3.54	0.0290133
3.55	0.0287246
3.56	0.0284388
3.57	0.0281559
3.58	0.0278757
3.59	0.0275983
3.6	0.0273237
3.61	0.0270518
3.62	0.0267827
3.63	0.0265162
3.64	0.0262523
3.65	0.0259911
3.66	0.0257325
3.67	0.0254765
3.68	0.025223
3.69	0.024972
3.7	0.0247235
3.71	0.0244775
3.72	0.024234
3.73	0.0239928
3.74	0.0237541
3.75	0.0235177
3.76	0.0232837
3.77	0.0230521
3.78	0.0228227
3.79	0.0225956
3.8	0.0223708
3.81	0.0221482
3.82	0.0219278
3.83	0.0217096
3.84	0.0214936
3.85	0.0212797
3.86	0.021068
3.87	0.0208584
3.88	0.0206508
3.89	0.0204453
3.9	0.0202419
3.91	0.0200405
3.92	0.0198411
3.93	0.0196437
3.94	0.0194482
3.95	0.0192547
3.96	0.0190631
3.97	0.0188734
3.98	0.0186856
3.99	0.0184997
4	0.0183156
4.01	0.0181334
4.02	0.017953
4.03	0.0177743
4.04	0.0175975
4.05	0.0174224
4.06	0.017249
4.07	0.0170774
4.08	0.0169075
4.09	0.0167392
4.1	0.0165727
4.11	0.0164078
4.12	0.0162445
4.13	0.0160829
4.14	0.0159229
4.15	0.0157644
4.16	0.0156076
4.17	0.0154523
4.18	0.0152985
4.19	0.0151463
4.2	0.0149956
4.21	0.0148464
4.22	0.0146986
4.23	0.0145524
4.24	0.0144076
4.25	0.0142642
4.26	0.0141223
4.27	0.0139818
4.28	0.0138427
4.29	0.0137049
4.3	0.0135686
4.31	0.0134335
4.32	0.0132999
4.33	0.0131675
4.34	0.0130365
4.35	0.0129068
4.36	0.0127784
4.37	0.0126512
4.38	0.0125254
4.39	0.0124007
4.4	0.0122773
4.41	0.0121552
4.42	0.0120342
4.43	0.0119145
4.44	0.0117959
4.45	0.0116786
4.46	0.0115624
4.47	0.0114473
4.48	0.0113334
4.49	0.0112206
4.5	0.011109
4.51	0.0109985
4.52	0.010889
4.53	0.0107807
4.54	0.0106734
4.55	0.0105672
4.56	0.0104621
4.57	0.010358
4.58	0.0102549
4.59	0.0101529
4.6	0.0100518
4.61	0.00995182
4.62	0.0098528
4.63	0.00975476
4.64	0.0096577
4.65	0.0095616
4.66	0.00946646
4.67	0.00937227
4.68	0.00927901
4.69	0.00918669
4.7	0.00909528
4.71	0.00900478
4.72	0.00891518
4.73	0.00882647
4.74	0.00873865
4.75	0.0086517
4.76	0.00856561
4.77	0.00848038
4.78	0.008396
4.79	0.00831246
4.8	0.00822975
4.81	0.00814786
4.82	0.00806679
4.83	0.00798652
4.84	0.00790705
4.85	0.00782838
4.86	0.00775048
4.87	0.00767337
4.88	0.00759701
4.89	0.00752142
4.9	0.00744658
4.91	0.00737249
4.92	0.00729913
4.93	0.0072265
4.94	0.0071546
4.95	0.00708341
4.96	0.00701293
4.97	0.00694315
4.98	0.00687406
4.99	0.00680566
5	0.00673795
5.01	0.0066709
5.02	0.00660453
5.03	0.00653881
5.04	0.00647375
5.05	0.00640933
5.06	0.00634556
5.07	0.00628242
5.08	0.00621991
5.09	0.00615802
5.1	0.00609675
5.11	0.00603608
5.12	0.00597602
5.13	0.00591656
5.14	0.00585769
5.15	0.0057994
5.16	0.0057417
5.17	0.00568457
5.18	0.00562801
5.19	0.00557201
5.2	0.00551656
5.21	0.00546167
5.22	0.00540733
5.23	0.00535353
5.24	0.00530026
5.25	0.00524752
5.26	0.0051953
5.27	0.00514361
5.28	0.00509243
5.29	0.00504176
5.3	0.00499159
5.31	0.00494193
5.32	0.00489275
5.33	0.00484407
5.34	0.00479587
5.35	0.00474815
5.36	0.00470091
5.37	0.00465413
5.38	0.00460782
5.39	0.00456197
5.4	0.00451658
5.41	0.00447164
5.42	0.00442715
5.43	0.0043831
5.44	0.00433948
5.45	0.0042963
5.46	0.00425356
5.47	0.00421123
5.48	0.00416933
5.49	0.00412784
5.5	0.00408677
5.51	0.00404611
5.52	0.00400585
5.53	0.00396599
5.54	0.00392653
5.55	0.00388746
5.56	0.00384878
5.57	0.00381048
5.58	0.00377257
5.59	0.00373503
5.6	0.00369786
5.61	0.00366107
5.62	0.00362464
5.63	0.00358858
5.64	0.00355287
5.65	0.00351752
5.66	0.00348252
5.67	0.00344787
5.68	0.00341356
5.69	0.00337959
5.7	0.00334597
5.71	0.00331267
5.72	0.00327971
5.73	0.00324708
5.74	0.00321477
5.75	0.00318278
5.76	0.00315111
5.77	0.00311976
5.78	0.00308872
5.79	0.00305798
5.8	0.00302755
5.81	0.00299743
5.82	0.00296761
5.83	0.00293808
5.84	0.00290884
5.85	0.0028799
5.86	0.00285124
5.87	0.00282287
5.88	0.00279479
5.89	0.00276698
5.9	0.00273944
5.91	0.00271219
5.92	0.0026852
5.93	0.00265848
5.94	0.00263203
5.95	0.00260584
5.96	0.00257991
5.97	0.00255424
5.98	0.00252883
5.99	0.00250366
6	0.00247875
6.01	0.00245409
6.02	0.00242967
6.03	0.00240549
6.04	0.00238156
6.05	0.00235786
6.06	0.0023344
6.07	0.00231117
6.08	0.00228818
6.09	0.00226541
6.1	0.00224287
6.11	0.00222055
6.12	0.00219846
6.13	0.00217658
6.14	0.00215492
6.15	0.00213348
6.16	0.00211225
6.17	0.00209124
6.18	0.00207043
6.19	0.00204983
6.2	0.00202943
6.21	0.00200924
6.22	0.00198925
6.23	0.00196945
6.24	0.00194986
6.25	0.00193045
6.26	0.00191125
6.27	0.00189223
6.28	0.0018734
6.29	0.00185476
6.3	0.0018363
6.31	0.00181803
6.32	0.00179994
6.33	0.00178203
6.34	0.0017643
6.35	0.00174675
6.36	0.00172937
6.37	0.00171216
6.38	0.00169512
6.39	0.00167826
6.4	0.00166156
6.41	0.00164502
6.42	0.00162866
6.43	0.00161245
6.44	0.00159641
6.45	0.00158052
6.46	0.0015648
6.47	0.00154923
6.48	0.00153381
6.49	0.00151855
6.5	0.00150344
6.51	0.00148848
6.52	0.00147367
6.53	0.00145901
6.54	0.00144449
6.55	0.00143012
6.56	0.00141589
6.57	0.0014018
6.58	0.00138785
6.59	0.00137404
6.6	0.00136037
6.61	0.00134683
6.62	0.00133343
6.63	0.00132016
6.64	0.00130703
6.65	0.00129402
6.66	0.00128115
6.67	0.0012684
6.68	0.00125578
6.69	0.00124328
6.7	0.00123091
6.71	0.00121866
6.72	0.00120654
6.73	0.00119453
6.74	0.00118265
6.75	0.00117088
6.76	0.00115923
6.77	0.00114769
6.78	0.00113627
6.79	0.00112497
6.8	0.00111378
6.81	0.00110269
6.82	0.00109172
6.83	0.00108086
6.84	0.0010701
6.85	0.00105946
6.86	0.00104891
6.87	0.00103848
6.88	0.00102814
6.89	0.00101791
6.9	0.00100779
6.91	0.000997758
6.92	0.00098783
6.93	0.000978001
6.94	0.00096827
6.95	0.000958635
6.96	0.000949097
6.97	0.000939653
6.98	0.000930303
6.99	0.000921047
7	0.000911882
7.01	0.000902809
7.02	0.000893825
7.03	0.000884932
7.04	0.000876127
7.05	0.000867409
7.06	0.000858778
7.07	0.000850233
7.08	0.000841773
7.09	0.000833397
7.1	0.000825105
7.11	0.000816895
7.12	0.000808767
7.13	0.000800719
7.14	0.000792752
7.15	0.000784864
7.16	0.000777055
7.17	0.000769323
7.18	0.000761668
7.19	0.000754089
7.2	0.000746586
7.21	0.000739157
7.22	0.000731802
7.23	0.000724521
7.24	0.000717312
7.25	0.000710174
7.26	0.000703108
7.27	0.000696112
7.28	0.000689186
7.29	0.000682328
7.3	0.000675539
7.31	0.000668817
7.32	0.000662162
7.33	0.000655574
7.34	0.000649051
7.35	0.000642592
7.36	0.000636198
7.37	0.000629868
7.38	0.000623601
7.39	0.000617396
7.4	0.000611253
7.41	0.000605171
7.42	0.000599149
7.43	0.000593188
7.44	0.000587285
7.45	0.000581442
7.46	0.000575656
7.47	0.000569928
7.48	0.000564257
7.49	0.000558643
7.5	0.000553084
7.51	0.000547581
7.52	0.000542133
7.53	0.000536738
7.54	0.000531398
7.55	0.00052611
7.56	0.000520875
7.57	0.000515692
7.58	0.000510561
7.59	0.000505481
7.6	0.000500451
7.61	0.000495472
7.62	0.000490542
7.63	0.000485661
7.64	0.000480828
7.65	0.000476044
7.66	0.000471307
7.67	0.000466618
7.68	0.000461975
7.69	0.000457378
7.7	0.000452827
7.71	0.000448321
7.72	0.000443861
7.73	0.000439444
7.74	0.000435072
7.75	0.000430743
7.76	0.000426457
7.77	0.000422213
7.78	0.000418012
7.79	0.000413853
7.8	0.000409735
7.81	0.000405658
7.82	0.000401622
7.83	0.000397625
7.84	0.000393669
7.85	0.000389752
7.86	0.000385874
7.87	0.000382034
7.88	0.000378233
7.89	0.00037447
7.9	0.000370744
7.91	0.000367055
7.92	0.000363402
7.93	0.000359786
7.94	0.000356206
7.95	0.000352662
7.96	0.000349153
7.97	0.000345679
7.98	0.000342239
7.99	0.000338834
8	0.000335463
8.01	0.000332125
8.02	0.00032882
8.03	0.000325548
8.04	0.000322309
8.05	0.000319102
8.06	0.000315927
8.07	0.000312783
8.08	0.000309671
8.09	0.00030659
8.1	0.000303539
8.11	0.000300519
8.12	0.000297529
8.13	0.000294568
8.14	0.000291637
8.15	0.000288735
8.16	0.000285862
8.17	0.000283018
8.18	0.000280202
8.19	0.000277414
8.2	0.000274654
8.21	0.000271921
8.22	0.000269215
8.23	0.000266536
8.24	0.000263884
8.25	0.000261259
8.26	0.000258659
8.27	0.000256085
8.28	0.000253537
8.29	0.000251014
8.3	0.000248517
8.31	0.000246044
8.32	0.000243596
8.33	0.000241172
8.34	0.000238772
8.35	0.000236397
8.36	0.000234044
8.37	0.000231716
8.38	0.00022941
8.39	0.000227127
8.4	0.000224867
8.41	0.00022263
8.42	0.000220415
8.43	0.000218221
8.44	0.00021605
8.45	0.0002139
8.46	0.000211772
8.47	0.000209665
8.48	0.000207579
8.49	0.000205513
8.5	0.000203468
8.51	0.000201444
8.52	0.000199439
8.53	0.000197455
8.54	0.00019549
8.55	0.000193545
8.56	0.000191619
8.57	0.000189713
8.58	0.000187825
8.59	0.000185956
8.6	0.000184106
8.61	0.000182274
8.62	0.00018046
8.63	0.000178665
8.64	0.000176887
8.65	0.000175127
8.66	0.000173384
8.67	0.000171659
8.68	0.000169951
8.69	0.00016826
8.7	0.000166586
8.71	0.000164928
8.72	0.000163287
8.73	0.000161662
8.74	0.000160054
8.75	0.000158461
8.76	0.000156885
8.77	0.000155324
8.78	0.000153778
8.79	0.000152248
8.8	0.000150733
8.81	0.000149233
8.82	0.000147748
8.83	0.000146278
8.84	0.000144823
8.85	0.000143382
8.86	0.000141955
8.87	0.000140543
8.88	0.000139144
8.89	0.00013776
8.9	0.000136389
8.91	0.000135032
8.92	0.000133688
8.93	0.000132358
8.94	0.000131041
8.95	0.000129737
8.96	0.000128446
8.97	0.000127168
8.98	0.000125903
8.99	0.00012465
9	0.00012341
9.01	0.000122182
9.02	0.000120966
9.03	0.000119762
9.04	0.000118571
9.05	0.000117391
9.06	0.000116223
9.07	0.000115067
9.08	0.000113922
9.09	0.000112788
9.1	0.000111666
9.11	0.000110555
9.12	0.000109455
9.13	0.000108366
9.14	0.000107287
9.15	0.00010622
9.16	0.000105163
9.17	0.000104117
9.18	0.000103081
9.19	0.000102055
9.2	0.000101039
9.21	0.000100034
9.22	9.90387e-05
9.23	9.80532e-05
9.24	9.70776e-05
9.25	9.61117e-05
9.26	9.51553e-05
9.27	9.42085e-05
9.28	9.32711e-05
9.29	9.23431e-05
9.3	9.14242e-05
9.31	9.05145e-05
9.32	8.96139e-05
9.33	8.87222e-05
9.34	8.78394e-05
9.35	8.69654e-05
9.36	8.61001e-05
9.37	8.52434e-05
9.38	8.43952e-05
9.39	8.35555e-05
9.4	8.27241e-05
9.41	8.19009e-05
9.42	8.1086e-05
9.43	8.02792e-05
9.44	7.94804e-05
9.45	7.86896e-05
9.46	7.79066e-05
9.47	7.71314e-05
9.48	7.63639e-05
9.49	7.56041e-05
9.5	7.48518e-05
9.51	7.4107e-05
9.52	7.33697e-05
9.53	7.26396e-05
9.54	7.19168e-05
9.55	7.12013e-05
9.56	7.04928e-05
9.57	6.97914e-05
9.58	6.90969e-05
9.59	6.84094e-05
9.6	6.77287e-05
9.61	6.70548e-05
9.62	6.63876e-05
9.63	6.5727e-05
9.64	6.50731e-05
9.65	6.44256e-05
9.66	6.37845e-05
9.67	6.31499e-05
9.68	6.25215e-05
9.69	6.18994e-05
9.7	6.12835e-05
9.71	6.06737e-05
9.72	6.007e-05
9.73	5.94723e-05
9.74	5.88805e-05
9.75	5.82947e-05
9.76	5.77146e-05
9.77	5.71404e-05
9.78	5.65718e-05
9.79	5.60089e-05
9.8	5.54516e-05
9.81	5.48998e-05
9.82	5.43536e-05
9.83	5.38128e-05
9.84	5.32773e-05
9.85	5.27472e-05
9.86	5.22223e-05
9.87	5.17027e-05
9.88	5.11883e-05
9.89	5.06789e-05
9.9	5.01747e-05
9.91	4.96754e-05
9.92	4.91812e-05
9.93	4.86918e-05
9.94	4.82073e-05
9.95	4.77276e-05
9.96	4.72527e-05
9.97	4.67826e-05
9.98	4.63171e-05
9.99	4.58562e-05
10	4.53999e-05
